provincia,,,,,,,
44162,,,,,,,
,,,,ACUMULADOS,RECUPERADOS,FALLECIDOS,ACTIVOS
Provincia,,Cantón,Distrito,Casos*,Casos*,Casos*,Casos*
,,,,,,,
,,,Río Segundo,476,305,7,164
,,,Sabanilla,201,42,5,154
,,,San Antonio,1026,314,10,702
,,,San Isidro,469,150,2,317
,,,San José,1403,455,17,931
,,,San Rafael,1760,750,20,990
,,,Sarapiquí,75,16,0,59
,,,Tambor,397,128,3,266
,,,Turrucares,261,86,2,173
,,,Sin información de distrito,19,14,0,5
,,Atenas,,572,179,3,390
,,,Atenas,184,61,2,121
,,,Concepción,110,35,0,75
,,,Escobal,12,3,0,9
,,,Jesús,62,28,0,34
,,,Mercedes,81,18,0,63
,,,San Isidro,77,20,1,56
,,,San José,26,6,0,20
,,,Santa Eulalia,20,8,0,12
,,,Sin información de distrito,0,0,0,0
,,Grecia,,1485,366,23,1096
,,,Bolivar,110,23,0,87
,,,Grecia,460,104,12,344
,,,Puente de Piedra,260,89,3,168
,,,San Isidro,105,20,2,83
,,,San José,143,30,1,112
,,,San Roque,201,47,2,152
,,,Tacares,204,52,3,149
,,,Sin información de distrito,2,1,0,1
,,Guatuso,,414,305,3,106
,,,Buenavista,35,28,0,7
,,,Cote,14,6,0,8
,,,Katira,52,37,1,14
,,,San Rafael,309,230,2,77
,,,Sin información de distrito,4,4,0,0
,,Los Chiles,,522,443,8,71
,,,Caño Negro,6,5,0,1
,,,El Amparo,84,63,2,19
,,,Los Chiles,390,341,6,43
,,,San Jorge,18,10,0,8
,,,Sin información de distrito,24,24,0,0
,,Naranjo,,1235,472,13,750
,,,Cirrí Sur,123,46,1,76
,,,El Rosario,116,44,0,72
,,,Naranjo,516,211,5,300
,,,Palmitos,80,37,0,43
,,,San Jerónimo,140,46,2,92
,,,San José,55,26,1,28
,,,San Juan,109,24,4,81
,,,San Miguel,94,37,0,57
,,,Sin información de distrito,2,1,0,1
,,Orotina,,555,451,5,99
,,,Coyolar,116,91,0,25
,,,El Mastate,52,42,1,9
,,,Hacienda Vieja,42,40,0,2
,,,La Ceiba,24,18,0,6
,,,Orotina,318,257,4,57
,,,Sin información de distrito,3,3,0,0
,,Palmares,,928,649,11,268
,,,Buenos Aires,171,119,1,51
,,,Candelaria,53,29,0,24
,,,Esquipulas,185,132,1,52
,,,La Granja,96,72,0,24
,,,Palmares,146,96,7,43
,,,Santiago,50,31,1,18
,,,Zaragoza,226,169,1,56
,,,Sin información de distrito,1,1,0,0
,,Poás,,889,696,10,183
,,,Carrillos,308,258,4,46
,,,Sabana Redonda,62,48,0,14
,,,San Juan,126,97,0,29
,,,San Pedro,293,215,1,77
,,,San Rafael,92,71,5,16
,,,Sin información de distrito,8,7,0,1
,,Río Cuarto,,447,108,3,336
,,,Río Cuarto,293,74,2,217
,,,Santa Isabel,51,13,0,38
,,,Santa Rita,102,21,1,80
,,,Sin información de distrito,1,0,0,1
,,San Carlos,,5744,3909,42,1793
,,,Aguas Zarcas,742,502,5,235
,,,Buenavista,4,3,0,1
,,,Cutris,273,183,1,89
,,,Florencia,483,323,1,159
,,,La Fortuna,820,447,2,371
,,,La Palmera,209,126,0,83
,,,La Tigra,149,110,2,37
,,,Monterrey,84,45,0,39
,,,Pital,687,573,10,104
,,,Pocosol,406,262,3,141
,,,Quesada,1565,1089,16,460
,,,Venado,27,13,0,14
,,,Venecia,269,207,2,60
,,,Sin información de distrito,26,26,0,0
,,San Mateo,,75,56,1,18
,,,Desmonte,3,2,0,1
,,,Jesús María,16,11,0,5
,,,Labrador,13,11,0,2
